ExperimentID,Scenario,Scenario_label,Humans,ROW_N,RandomPosition,MainActivity,TimeWeightedAverageMetabolicRate_kcal,AverageHumanProduction_crop_units,TotalHumanWorkload_kcal,TotalProductionCargoZone_crop_units,RemainingCropsHumanBags_crop_units,RemainingCropsBoxes_crop_units,RemainingCropsRobot_crop_units,TotalRecollectedCrops_crop_units
8_ROW2_harv_mixed_RP1_20260519_083019,1,Human-Robot,8,2,1,harv_mixed,6.14287335872396,127.25,97.2877874999992,840,88,45,45,1018
8_ROW3_harv_ladder_RP0_20260519_085656,1,Human-Robot,8,3,0,harv_ladder,8.62260425716166,90.0,136.540600000005,555,0,120,45,720
8_ROW3_harv_mixed_RP0_20260519_092332,1,Human-Robot,8,3,0,harv_mixed,6.14287335872396,127.25,97.2877874999992,870,88,45,15,1018
8_ROW3_harv_ladder_RP1_20260519_095046,1,Human-Robot,8,3,1,harv_ladder,8.62260425716166,90.0,136.540600000005,555,0,120,45,720
8_ROW3_harv_mixed_RP1_20260519_101805,1,Human-Robot,8,3,1,harv_mixed,6.14287335872396,127.25,97.2877874999992,855,88,45,30,1018
10_ROW1_harv_ladder_RP0_20260519_104813,1,Human-Robot,10,1,0,harv_ladder,8.67526756927104,90.0,171.098912500007,585,0,300,15,900
10_ROW1_harv_mixed_RP0_20260519_111829,1,Human-Robot,10,1,0,harv_mixed,6.69148285052088,119.8,131.8461,750,88,360,0,1198
10_ROW1_harv_ladder_RP1_20260519_114854,1,Human-Robot,10,1,1,harv_ladder,8.67526756927104,90.0,171.098912500007,750,0,135,15,900
10_ROW1_harv_mixed_RP1_20260519_121921,1,Human-Robot,10,1,1,harv_mixed,6.69148285052088,119.8,131.8461,1035,88,75,0,1198
10_ROW2_harv_ladder_RP0_20260519_124951,1,Human-Robot,10,2,0,harv_ladder,8.67526756927104,90.0,171.098912500007,675,0,180,45,900
10_ROW2_harv_mixed_RP0_20260519_132023,1,Human-Robot,10,2,0,harv_mixed,6.69148285052088,119.8,131.8461,1005,88,90,15,1198
10_ROW2_harv_ladder_RP1_20260519_135053,1,Human-Robot,10,2,1,harv_ladder,8.67526756927104,90.0,171.098912500007,750,0,150,0,900
10_ROW2_harv_mixed_RP1_20260519_142116,1,Human-Robot,10,2,1,harv_mixed,6.69148285052088,119.8,131.8461,990,88,120,0,1198
10_ROW3_harv_ladder_RP0_20260519_145142,1,Human-Robot,10,3,0,harv_ladder,8.67526756927104,90.0,171.098912500007,675,0,150,75,900
10_ROW3_harv_mixed_RP0_20260519_152212,1,Human-Robot,10,3,0,harv_mixed,6.69148285052088,119.8,131.8461,915,88,90,105,1198
10_ROW3_harv_ladder_RP1_20260519_155240,1,Human-Robot,10,3,1,harv_ladder,8.67526756927104,90.0,171.098912500007,750,0,150,0,900
10_ROW3_harv_mixed_RP1_20260519_162331,1,Human-Robot,10,3,1,harv_mixed,6.69148285052088,119.8,131.8461,1020,88,90,0,1198
12_ROW1_harv_ladder_RP0_20260519_165657,1,Human-Robot,12,1,0,harv_ladder,8.72899311067729,90.0,205.880625000008,810,0,270,0,1080
12_ROW1_harv_mixed_RP0_20260519_173037,1,Human-Robot,12,1,0,harv_mixed,6.57758045052088,119.666666666667,155.0989375,990,116,285,45,1436
12_ROW1_harv_ladder_RP1_20260519_180413,1,Human-Robot,12,1,1,harv_ladder,8.72899311067729,90.0,205.880625000008,825,0,255,0,1080
12_ROW1_harv_mixed_RP1_20260519_183801,1,Human-Robot,12,1,1,harv_mixed,6.57758045052088,119.666666666667,155.0989375,1200,116,120,0,1436
12_ROW2_harv_ladder_RP0_20260519_191145,1,Human-Robot,12,2,0,harv_ladder,8.72899311067729,90.0,205.880625000008,840,0,240,0,1080
12_ROW2_harv_mixed_RP0_20260519_194521,1,Human-Robot,12,2,0,harv_mixed,6.57758045052088,119.666666666667,155.0989375,1080,116,120,120,1436
12_ROW2_harv_ladder_RP1_20260519_201849,1,Human-Robot,12,2,1,harv_ladder,8.72899311067729,90.0,205.880625000008,900,0,180,0,1080
12_ROW2_harv_mixed_RP1_20260519_205234,1,Human-Robot,12,2,1,harv_mixed,6.57758045052088,119.666666666667,155.0989375,1170,116,60,90,1436
12_ROW3_harv_ladder_RP0_20260519_212621,1,Human-Robot,12,3,0,harv_ladder,8.72899311067729,90.0,205.880625000008,840,0,210,30,1080
12_ROW3_harv_mixed_RP0_20260519_220006,1,Human-Robot,12,3,0,harv_mixed,6.57758045052088,119.666666666667,155.0989375,1185,116,135,0,1436
12_ROW3_harv_ladder_RP1_20260519_223346,1,Human-Robot,12,3,1,harv_ladder,8.72899311067729,90.0,205.880625000008,810,0,165,105,1080
12_ROW3_harv_mixed_RP1_20260519_230719,1,Human-Robot,12,3,1,harv_mixed,6.57758045052088,119.666666666667,155.0989375,1125,116,105,90,1436
